SubjectID,true_alpha,psignifit_alpha,UML_alpha
s001,-16.000000,-16.185253,-16.191711
s002,-16.000000,-15.933317,-15.940876
s003,-16.000000,-15.171571,-15.212610
s004,-16.000000,-16.527687,-16.432879
s005,-16.000000,-16.084266,-16.082970
s006,-16.000000,-15.962058,-15.972995
s007,-16.000000,-16.184174,-16.215361
s008,-16.000000,-17.528898,-17.552908
s009,-16.000000,-16.422102,-16.432189
s010,-16.000000,-16.269311,-16.240116
s011,-16.000000,-15.461003,-15.457851
s012,-16.000000,-15.677412,-15.681756
s013,-16.000000,-16.257203,-16.249529
s014,-16.000000,-16.467878,-16.505877
s015,-16.000000,-17.108664,-17.195839
s016,-16.000000,-15.598566,-15.611097
s017,-16.000000,-16.015816,-16.022472
s018,-16.000000,-15.343305,-15.349532
s019,-16.000000,-16.460354,-16.456431
s020,-16.000000,-14.742700,-14.724862
s021,-16.000000,-15.187738,-15.495828
s022,-16.000000,-16.361924,-16.426322
s023,-16.000000,-16.115322,-16.091884
s024,-16.000000,-15.680517,-15.696802
s025,-16.000000,-15.439797,-15.441258
s026,-16.000000,-16.587808,-16.563160
s027,-16.000000,-14.790086,-14.784807
s028,-16.000000,-15.877269,-15.870022
s029,-16.000000,-15.044544,-15.039341
s030,-16.000000,-16.813761,-16.796008
